GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
subscription-suite-bdd-project-ATDD,br.com.valueprojects.subscription.controller,StudentController,0,47,0,0,0,13,0,6,0,6
subscription-suite-bdd-project-ATDD,br.com.valueprojects.subscription.controller,GlobalExceptionHandler,89,3,0,0,16,1,4,1,4,1
subscription-suite-bdd-project-ATDD,br.com.valueprojects.subscription.controller,ProgressController,33,0,0,0,12,0,3,0,3,0
subscription-suite-bdd-project-ATDD,br.com.valueprojects.subscription.controller,EnrollmentController,1,34,1,3,0,9,1,3,0,2
subscription-suite-bdd-project-ATDD,br.com.valueprojects.subscription,ProgressService,0,58,1,3,0,14,1,4,0,3
subscription-suite-bdd-project-ATDD,br.com.valueprojects.subscription,EnrollmentService,0,21,0,4,0,7,0,4,0,2
subscription-suite-bdd-project-ATDD,br.com.valueprojects.subscription,SubscriptionApplication,5,3,0,0,2,1,1,1,1,1
subscription-suite-bdd-project-ATDD,br.com.valueprojects.subscription,EnrollmentService.Result,0,26,0,0,0,7,0,3,0,3
subscription-suite-bdd-project-ATDD,br.com.valueprojects.subscription.service,EnrollmentService,0,36,0,4,0,12,0,4,0,2
subscription-suite-bdd-project-ATDD,br.com.valueprojects.subscription.service,ProgressService,0,83,1,3,0,18,1,4,0,3
subscription-suite-bdd-project-ATDD,br.com.valueprojects.subscription.service,StudentService,22,119,5,7,2,32,8,8,3,7
subscription-suite-bdd-project-ATDD,br.com.valueprojects.subscription.dto,EnrollmentResultDTO,4,187,4,26,0,17,4,26,0,15
subscription-suite-bdd-project-ATDD,br.com.valueprojects.subscription.dto,EnrollmentResultDTO.EnrollmentResultDTOBuilder,0,36,0,0,0,1,0,6,0,6
subscription-suite-bdd-project-ATDD,br.com.valueprojects.subscription.dto,ConvertCoinsDTO,1,127,1,21,0,6,1,21,0,11
subscription-suite-bdd-project-ATDD,br.com.valueprojects.subscription.dto,FinishCourseDTO.FinishCourseDTOBuilder,0,36,0,0,0,1,0,6,0,6
subscription-suite-bdd-project-ATDD,br.com.valueprojects.subscription.dto,StudentDTO,0,384,0,68,0,31,0,55,0,21
subscription-suite-bdd-project-ATDD,br.com.valueprojects.subscription.dto,StudentDTO.StudentDTOBuilder,0,63,0,0,0,1,0,9,0,9
subscription-suite-bdd-project-ATDD,br.com.valueprojects.subscription.dto,FinishCourseDTO,2,169,2,28,0,7,2,26,0,13
subscription-suite-bdd-project-ATDD,br.com.valueprojects.subscription.dto,ConvertCoinsDTO.ConvertCoinsDTOBuilder,0,27,0,0,0,1,0,5,0,5
subscription-suite-bdd-project-ATDD,br.com.valueprojects.subscription.dto,EnrollmentDTO.EnrollmentDTOBuilder,8,38,0,2,0,1,1,6,1,5
subscription-suite-bdd-project-ATDD,br.com.valueprojects.subscription.dto,EnrollmentDTO,11,166,10,20,0,7,9,20,0,14
subscription-suite-bdd-project-ATDD,br.com.valueprojects.subscription.config,SwaggerConfig,33,0,0,0,12,0,2,0,2,0
subscription-suite-bdd-project-ATDD,br.com.valueprojects.subscription.entity,Student.StudentBuilder,19,85,2,6,0,1,3,10,1,8
subscription-suite-bdd-project-ATDD,br.com.valueprojects.subscription.entity,Student,0,145,0,2,0,24,0,24,0,23
subscription-suite-bdd-project-ATDD,br.com.valueprojects.subscription.vo,CourseCode,98,0,20,0,11,0,17,0,7,0
subscription-suite-bdd-project-ATDD,br.com.valueprojects.subscription.vo,Plan,17,114,9,15,1,17,8,16,0,12
